rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
171,frame_0373.jpg,149.2,0.3666,0.5192,0.25,0.16,4,2,False,False
172,frame_0219.jpg,87.6,0.3629,0.3729,0.375,0.32,5,3,False,False
173,frame_0178.jpg,71.2,0.3616,0.5092,0.25,0.16,3,2,False,False
174,frame_0083.jpg,33.2,0.3596,0.3132,0.25,0.64,6,2,False,False
175,frame_0193.jpg,77.2,0.357,0.468,0.25,0.24,4,2,False,False
176,frame_0225.jpg,90.0,0.3541,0.5262,0.25,0.08,6,2,False,False
177,frame_0220.jpg,88.0,0.352,0.442,0.25,0.28,4,2,False,False
178,frame_0222.jpg,88.8,0.3518,0.3987,0.375,0.2,5,3,False,False
179,frame_0094.jpg,37.6,0.3499,0.4698,0.25,0.2,4,2,False,False
180,frame_0118.jpg,47.2,0.3498,0.4486,0.125,0.44,6,1,False,False
181,frame_0082.jpg,32.8,0.3494,0.2768,0.25,0.68,7,2,False,False
182,frame_0101.jpg,40.4,0.3465,0.586,0.125,0.08,3,1,False,False
183,frame_0381.jpg,152.4,0.3453,0.4496,0.375,0.04,6,3,False,False
184,frame_0080.jpg,32.0,0.3435,0.3079,0.125,0.76,10,1,False,False
185,frame_0395.jpg,158.0,0.3417,0.4853,0.25,0.12,6,2,False,False
186,frame_0120.jpg,48.0,0.3407,0.3234,0.25,0.52,5,2,False,False
187,frame_0315.jpg,126.0,0.3391,0.4802,0.25,0.12,8,2,False,False
188,frame_0303.jpg,121.2,0.3385,0.383,0.25,0.36,6,2,False,False
189,frame_0084.jpg,33.6,0.3369,0.2838,0.25,0.6,6,2,False,False
190,frame_0117.jpg,46.8,0.3368,0.4386,0.125,0.4,5,1,False,False
191,frame_0280.jpg,112.0,0.3366,0.4381,0.125,0.4,7,1,False,False
192,frame_0307.jpg,122.8,0.336,0.442,0.25,0.2,7,2,False,False
193,frame_0085.jpg,34.0,0.3323,0.3655,0.125,0.56,3,1,False,False
194,frame_0112.jpg,44.8,0.3312,0.5075,0.125,0.2,5,1,False,False
195,frame_0271.jpg,108.4,0.3304,0.5699,0.125,0.04,3,1,False,False
196,frame_0226.jpg,90.4,0.3281,0.4151,0.375,0.04,6,3,False,False
197,frame_0333.jpg,133.2,0.3252,0.3934,0.375,0.08,6,3,False,False
198,frame_0320.jpg,128.0,0.3203,0.5447,0.0,0.24,8,0,False,False
199,frame_0218.jpg,87.2,0.3174,0.3407,0.25,0.36,5,2,False,False
200,frame_0299.jpg,119.6,0.317,0.351,0.125,0.52,5,1,False,False
201,frame_0186.jpg,74.4,0.3163,0.3915,0.375,0.04,10,3,False,False
202,frame_0109.jpg,43.6,0.3144,0.4467,0.25,0.08,7,2,False,False
203,frame_0233.jpg,93.2,0.3133,0.4556,0.125,0.24,7,1,False,False
204,frame_0323.jpg,129.2,0.3133,0.3536,0.375,0.12,5,3,False,False
205,frame_0393.jpg,157.2,0.3117,0.3824,0.375,0.04,7,3,False,False
206,frame_0310.jpg,124.0,0.3107,0.3645,0.375,0.08,5,3,False,False
207,frame_0199.jpg,79.6,0.3102,0.3534,0.125,0.48,1,1,False,False
208,frame_0321.jpg,128.4,0.3095,0.314,0.375,0.2,9,3,False,False
209,frame_0200.jpg,80.0,0.3093,0.3355,0.125,0.52,2,1,False,False
210,frame_0314.jpg,125.6,0.3084,0.4348,0.25,0.08,6,2,False,False
211,frame_0206.jpg,82.4,0.3061,0.2331,0.125,0.76,3,1,False,False
212,frame_0268.jpg,107.2,0.3059,0.3548,0.375,0.08,6,3,False,False
213,frame_0324.jpg,129.6,0.3051,0.3531,0.375,0.08,6,3,False,False
214,frame_0309.jpg,123.6,0.3012,0.3294,0.375,0.12,5,3,False,False
215,frame_0370.jpg,148.0,0.3008,0.3606,0.375,0.04,9,3,False,False
216,frame_0372.jpg,148.8,0.3004,0.4029,0.25,0.12,5,2,False,False
217,frame_0196.jpg,78.4,0.2999,0.3809,0.125,0.36,2,1,False,False
218,frame_0103.jpg,41.2,0.2982,0.3823,0.25,0.16,3,2,False,False
219,frame_0322.jpg,128.8,0.2976,0.3062,0.375,0.16,6,3,False,False
220,frame_0108.jpg,43.2,0.295,0.424,0.25,0.04,6,2,False,False
221,frame_0203.jpg,81.2,0.2949,0.2588,0.125,0.64,2,1,False,False
222,frame_0383.jpg,153.2,0.2912,0.3844,0.25,0.12,5,2,False,False
223,frame_0213.jpg,85.2,0.2903,0.2816,0.125,0.56,2,1,False,False
224,frame_0273.jpg,109.2,0.289,0.3049,0.375,0.12,6,3,False,False
225,frame_0022.jpg,8.8,0.2872,0.1744,0.0,1.0,3,0,False,False
226,frame_0207.jpg,82.8,0.2834,0.2467,0.0,0.8,2,0,False,False
227,frame_0211.jpg,84.4,0.2827,0.2343,0.125,0.64,3,1,False,False
228,frame_0215.jpg,86.0,0.2791,0.2911,0.125,0.48,4,1,False,False
229,frame_0272.jpg,108.8,0.279,0.3759,0.25,0.08,5,2,False,False
230,frame_0399.jpg,159.6,0.2722,0.3575,0.125,0.28,7,1,False,False
231,frame_0180.jpg,72.0,0.2712,0.4355,0.125,0.08,6,1,False,False
